Elo K,Error,MOV K,Error Gained,Elo K,Error Lost,MOV C,Error Gained,MOV ACP,Error
15,0.22024,6,-0.0123,23,0.1388,2.2,0.1235,No Term,
17.5,0.21794,7,0.0482,24,0.1426,2.95,0.1298,0,
20,0.21748,8,0.0838,25,0.1484,3.2,0.1628,0.0005,
22.5,0.2201,8.5,0.1172,26,0.1348,3.45,0.1494,0.001,
25,0.21452,8.75,0.1412,26.5,0.1338,3.7,0.1602,0.0015,
27.5,0.21494,9,0.1567,27,0.1258,4.2,0.1517,0.002,
30,0.2176,9.25,0.1207,27.5,0.117,,,0.0025,
,,9.5,0.1485,28,0.1468,,,,
,,10,0.1345,,,,,,
